frame_size,scale_factor,noise_coefficient,avg_relative_abs_err
20,10,0.01,1.032955672287302
30,10,0.01,1.1293605140815803
30,20,0.01,2.106397044629166
40,10,0.01,2.008679789460757
40,20,0.01,4.750979356493024
40,30,0.01,2.0739262568086754
50,10,0.01,0.8197367214899312
50,20,0.01,1.0822087347885807
50,30,0.01,2.306704507281692
50,40,0.01,5.655389910571347
60,10,0.01,0.7168232302872434
60,20,0.01,19.765174498369202
60,30,0.01,1.960264581054335
60,40,0.01,2.2011280021950164
60,50,0.01,1.1926364179617472
70,10,0.01,0.5120560398279403
70,20,0.01,1.1608544190854977
70,30,0.01,1.8392161747842213
70,40,0.01,21.258526921337147
70,50,0.01,65.07032627435167
70,60,0.01,3.397855943923022
80,10,0.01,0.5953771313778539
80,20,0.01,1.2710929179429742
80,30,0.01,1.8499423329279112
80,40,0.01,3.8205901779546068
80,50,0.01,3.893818243087201
80,60,0.01,3.641616319463118
80,70,0.01,10.17278914131842
90,10,0.01,1.4136734896476593
90,20,0.01,1.5831375647037873
90,30,0.01,15.127012081500228
90,40,0.01,6.5798205855655025
90,50,0.01,2.1181451335967965
90,60,0.01,63.58571137164774
90,70,0.01,88.16686881295914
90,80,0.01,3.4959161346642165
100,10,0.01,0.6269154108533254
100,20,0.01,3.6479333376312293
100,30,0.01,1.0383846639880072
100,40,0.01,1.5731103707016965
100,50,0.01,5.661342675082928
100,60,0.01,7.439298711690557
100,70,0.01,6.669426757162518
100,80,0.01,66.97418226856102
100,90,0.01,6.244421234997922
110,10,0.01,6.171289242906883
110,20,0.01,3.4094656148345535
110,30,0.01,0.6443726576349801
110,40,0.01,3.2472783012258404
110,50,0.01,713.7272501180364
110,60,0.01,2.330981601787362
110,70,0.01,1.2904794885422934
110,80,0.01,5.302995157988616
110,90,0.01,5.157320265396797
110,100,0.01,6.127517983681007
120,10,0.01,0.31945919417594565
120,20,0.01,0.8678660031753741
120,30,0.01,3.042050670264255
120,40,0.01,28.968782462410285
120,50,0.01,25.489461867223323
120,60,0.01,2.7397908126332786
120,70,0.01,14.725808557363981
120,80,0.01,2.6510803059982755
120,90,0.01,5.724422419823486
120,100,0.01,10.835184277100652
120,110,0.01,16.99155431940998
130,10,0.01,0.6437351361544064
130,20,0.01,1.592118412914008
130,30,0.01,2.7484945919058887
130,40,0.01,10.383055028538603
130,50,0.01,4.793715409308198
130,60,0.01,10.434169287802124
130,70,0.01,4.936204349307143
130,80,0.01,8.630946204875682
130,90,0.01,1.924983617349329
130,100,0.01,28.1518206557521
130,110,0.01,48.998398414340066
130,120,0.01,35.27987880467478
140,10,0.01,0.203086081364527
140,20,0.01,3.5628954320161506
140,30,0.01,54.95569664666602
140,40,0.01,12.87654703214808
140,50,0.01,1.0265154801771228
140,60,0.01,50.63522986366589
140,70,0.01,7.005686416013892
140,80,0.01,19.263136473737504
140,90,0.01,5.475592614694051
140,100,0.01,4.388751621726069
140,110,0.01,49.71135115930772
140,120,0.01,4.8801675278879415
140,130,0.01,14.478497476588506
150,10,0.01,0.6184791910491864
150,20,0.01,1.1819814507791016
150,30,0.01,8.655842382000444
150,40,0.01,6.7020242879484035
150,50,0.01,2.087610019977386
150,60,0.01,23.76773941806321
150,70,0.01,5.551866714944848
150,80,0.01,2.3384042459815912
150,90,0.01,7.141920508387102
150,100,0.01,20.127729301370266
150,110,0.01,23.318559264797646
150,120,0.01,7.053587326948178
150,130,0.01,10.428918623922923
150,140,0.01,1055.1656994295968
160,10,0.01,0.24377460413634153
160,20,0.01,1.5522647138665018
160,30,0.01,71.10896817158779
160,40,0.01,13.491808780620701
160,50,0.01,3.3971477486704145
160,60,0.01,5.684239873851742
160,70,0.01,20.08672164738409
160,80,0.01,1.3255151072387712
160,90,0.01,7.779324624785983
160,100,0.01,6.6633509077182
160,110,0.01,5.457016204884019
160,120,0.01,13.422837860420444
160,130,0.01,5.985482044993169
160,140,0.01,14.598646203658868
160,150,0.01,10.053404143502021
170,10,0.01,2.9619784831852733
170,20,0.01,4.206104749820839
170,30,0.01,7.091593682488701
170,40,0.01,7.65103767879975
170,50,0.01,5.345994438204645
170,60,0.01,8.600573686216936
170,70,0.01,7.577711892007424
170,80,0.01,32.54611606116104
170,90,0.01,4.228531220506052
170,100,0.01,15.284251572652034
170,110,0.01,10.086642403961939
170,120,0.01,28.6964610500403
170,130,0.01,81.64255856965104
170,140,0.01,13.481405367557876
170,150,0.01,626.9907482191819
170,160,0.01,11.770560698904001
180,10,0.01,0.3794991401468741
180,20,0.01,0.994020388372471
180,30,0.01,0.7573856655031056
180,40,0.01,2.3402891536750503
180,50,0.01,6.296294645936964
180,60,0.01,7.303584873537452
180,70,0.01,55.54966422705916
180,80,0.01,15.238738128061804
180,90,0.01,12.358161615829871
180,100,0.01,3.3225113887816975
180,110,0.01,19.115002662413506
180,120,0.01,8.999773982022402
180,130,0.01,417.48640536889434
180,140,0.01,88.10009059218577
180,150,0.01,3.37482175677219
180,160,0.01,23.078836269108383
180,170,0.01,18.1197142745544
190,10,0.01,0.3467941655066838
190,20,0.01,3.1612956883929897
190,30,0.01,1.3808906615471563
190,40,0.01,3.814816331008449
190,50,0.01,5.471775759404317
190,60,0.01,3.2025022812022477
190,70,0.01,9.336345143365484
190,80,0.01,4.159661480153604
190,90,0.01,12.625864521654664
190,100,0.01,10.690466507969825
190,110,0.01,4.241957602957908
190,120,0.01,36.38563609636537
190,130,0.01,10.003857004118387
190,140,0.01,28.764005811153805
