filterFactor,frame_size,scale_factor,noise_coefficient,avg_relative_abs_err
5,20,10,0.01,3.879836518200033
5,30,10,0.01,0.408366550877093
5,30,20,0.01,1.464948708788916
5,40,10,0.01,1.0536276274767526
5,40,20,0.01,2.7320854266983563
5,40,30,0.01,23.718438922505346
5,50,10,0.01,2.046099766631754
5,50,20,0.01,6.6846437036149915
5,50,30,0.01,15.402867407276199
5,50,40,0.01,17.891045544957464
5,60,10,0.01,1.5174185812797745
5,60,20,0.01,6.898155683360886
5,60,30,0.01,21.781544167337874
5,60,40,0.01,22.16644487120952
5,60,50,0.01,25.070398531580935
5,70,10,0.01,0.13473017538695264
5,70,20,0.01,7.727230318596348
5,70,30,0.01,15.928000893287324
5,70,40,0.01,9.441351448056611
5,70,50,0.01,10.893815775869287
5,70,60,0.01,15.968384729218997
5,80,10,0.01,0.64990172554463
5,80,20,0.01,1.8676807873533303
5,80,30,0.01,25.223187228615007
5,80,40,0.01,17.769837475129883
5,80,50,0.01,41.24996029191269
5,80,60,0.01,6.629277119809532
5,80,70,0.01,9.21493123115132
5,90,10,0.01,0.22509237528927087
5,90,20,0.01,1.6591074513931974
5,90,30,0.01,5.423972581357455
5,90,40,0.01,4.926357003076975
5,90,50,0.01,14.536986427138302
5,90,60,0.01,14.124362016495867
5,90,70,0.01,64.78995827340607
5,90,80,0.01,28.604878613206296
5,100,10,0.01,0.8816342742754822
5,100,20,0.01,1.272763157275215
5,100,30,0.01,3.5047592982544287
5,100,40,0.01,47.742308365738815
5,100,50,0.01,241.88581678569054
5,100,60,0.01,27.561838830813134
5,100,70,0.01,18.684429372473463
5,100,80,0.01,52.075964502687405
5,100,90,0.01,14.661670215732668
5,110,10,0.01,0.5164253814483358
5,110,20,0.01,0.3724497755322118
5,110,30,0.01,2.5500960979243303
5,110,40,0.01,5.926109569384096
5,110,50,0.01,23.345083801937477
5,110,60,0.01,15.817736525853
5,110,70,0.01,12.20900827386916
5,110,80,0.01,52.460808011574414
5,110,90,0.01,4.684414458977444
5,110,100,0.01,37.27814172603443
5,120,10,0.01,1.755991083446191
5,120,20,0.01,0.9891581707375875
5,120,30,0.01,13.022686815095732
5,120,40,0.01,5.544335235064381
5,120,50,0.01,892.898379640084
5,120,60,0.01,85.07511886557991
5,120,70,0.01,11.819999514584993
5,120,80,0.01,4.829783655367138
5,120,90,0.01,4.753542838442385
5,120,100,0.01,141.11744700945812
5,120,110,0.01,407.5845460512135
5,130,10,0.01,0.5609850133070163
5,130,20,0.01,59.442396037883874
5,130,30,0.01,2.719043091724929
5,130,40,0.01,4.248205547446857
5,130,50,0.01,2.921089961084398
5,130,60,0.01,6.676549808345238
5,130,70,0.01,4.271561437828599
5,130,80,0.01,27.082157534432707
5,130,90,0.01,5.025711690505306
5,130,100,0.01,16.190282602277634
5,130,110,0.01,97.00077831636581
5,130,120,0.01,4.446372605673789
5,140,10,0.01,0.34637232574749727
5,140,20,0.01,2.3039732118138803
5,140,30,0.01,5.472448623733591
5,140,40,0.01,4.805320655046909
5,140,50,0.01,3.5151979116114105
5,140,60,0.01,25.02685515901506
5,140,70,0.01,29.88311083409002
5,140,80,0.01,9.215855852804273
5,140,90,0.01,11.746473724596898
5,140,100,0.01,49.54780765995588
5,140,110,0.01,147.5723497715819
5,140,120,0.01,7.128684000770609
5,140,130,0.01,24.933213677861186
5,150,10,0.01,0.5640349915938289
5,150,20,0.01,7.410957382253517
5,150,30,0.01,4.864391826920535
5,150,40,0.01,4.48690849920909
5,150,50,0.01,5.454258800116592
5,150,60,0.01,3.5899242215161142
5,150,70,0.01,17.84575140889316
5,150,80,0.01,21.710687609757088
5,150,90,0.01,17.487111987988964
5,150,100,0.01,15.07402728216352
5,150,110,0.01,16.195386078397657
5,150,120,0.01,27.92618342622892
5,150,130,0.01,83.50009290139401
5,150,140,0.01,16.6994709117773
5,160,10,0.01,1.1898932028159905
5,160,20,0.01,9.924694861476134
5,160,30,0.01,7.373152356073497
5,160,40,0.01,3.5543117096359893
5,160,50,0.01,58.253648542962374
5,160,60,0.01,21.468004638478003
5,160,70,0.01,7.107110180903059
5,160,80,0.01,11.207803842701077
5,160,90,0.01,87.74044087289411
5,160,100,0.01,85.54063847188343
5,160,110,0.01,1.3703737495977153
5,160,120,0.01,94.19056553904663
5,160,130,0.01,6.241370258802526
5,160,140,0.01,25.02241823398387
5,160,150,0.01,51.281354826262636
5,170,10,0.01,1.3980762761203749
5,170,20,0.01,8.275670466396166
5,170,30,0.01,2.947719323157908
5,170,40,0.01,13.161206214598257
5,170,50,0.01,16.582314883952506
5,170,60,0.01,8.085341689226414
5,170,70,0.01,31.555511053902922
5,170,80,0.01,13.438295087548719
5,170,90,0.01,45.9526216722775
5,170,100,0.01,9.213741819710258
5,170,110,0.01,46.13772556320995
5,170,120,0.01,12.38901885963437
5,170,130,0.01,56.789600338164064
5,170,140,0.01,750.2362374875653
5,170,150,0.01,6.567652659906578
5,170,160,0.01,13.981367345061841
5,180,10,0.01,0.4122385437562032
5,180,20,0.01,0.7034910239244122
5,180,30,0.01,1.500516206272892
5,180,40,0.01,6.1282137817625335
5,180,50,0.01,5.297662670169615
5,180,60,0.01,51.93665522238647
5,180,70,0.01,2.8765028952183087
5,180,80,0.01,3.691687481388113
5,180,90,0.01,29.650334868216905
5,180,100,0.01,4.917514926005464
5,180,110,0.01,9.320408139562055
5,180,120,0.01,25.70673696149103
5,180,130,0.01,0.9512243076347945
5,180,140,0.01,25.11219290872781
5,180,150,0.01,865.9812413195132
5,180,160,0.01,16.110536555176605
5,180,170,0.01,39.89339822287733
5,190,10,0.01,1.2046809742218019
5,190,20,0.01,6.677217066027858
5,190,30,0.01,2.5488602252033083
5,190,40,0.01,4.4245600216471805
5,190,50,0.01,16.893341090759765
5,190,60,0.01,128.9968833819331
5,190,70,0.01,16.426875231991612
5,190,80,0.01,4.7870868970270095
5,190,90,0.01,103.59084392813895
5,190,100,0.01,46.98593395806885
5,190,110,0.01,53.15246384441689
5,190,120,0.01,2.0870128436642688
5,190,130,0.01,6.003831301635613
5,190,140,0.01,8.891309737423626
5,190,150,0.01,520.2997436556021
5,190,160,0.01,53.861654593363504
5,190,170,0.01,40.92250617956873
5,190,180,0.01,210.04400365116715
5,200,10,0.01,0.061316852568967385
5,200,20,0.01,1.2128791168494961
5,200,30,0.01,8.66190235124748
5,200,40,0.01,23.67717775131717
5,200,50,0.01,17.165999224975213
5,200,60,0.01,33.25501688045316
5,200,70,0.01,21.91006054784978
5,200,80,0.01,12.269226702721992
5,200,90,0.01,6.877726123161319
5,200,100,0.01,10.892565487223928
5,200,110,0.01,17.334709063929377
5,200,120,0.01,17.82789629331727
5,200,130,0.01,334.9065614566805
5,200,140,0.01,57.24946542029081
5,200,150,0.01,5.818683173541299
5,200,160,0.01,17.304850800433552
5,200,170,0.01,8.344860957762338
5,200,180,0.01,18.688570110830565
5,200,190,0.01,9.366442481293259
5,210,10,0.01,0.5701618340003098
5,210,20,0.01,1.8974146787580846
5,210,30,0.01,9.48492659328682
5,210,40,0.01,1.0997968303337393
5,210,50,0.01,7.364153672944613
5,210,60,0.01,1.8770397952445357
5,210,70,0.01,13.938303738979192
5,210,80,0.01,17.238197035849492
5,210,90,0.01,24.030898388582045
5,210,100,0.01,8.096272753150073
5,210,110,0.01,39.54203804596674
5,210,120,0.01,135.07378864349604
5,210,130,0.01,40.556149070953666
5,210,140,0.01,51.38845133040925
5,210,150,0.01,83.32276028977215
5,210,160,0.01,24.82402099604855
5,210,170,0.01,22.409897801632948
5,210,180,0.01,39.95037526602483
5,210,190,0.01,73.58691506322576
5,210,200,0.01,46.09720665444775
5,220,10,0.01,0.1860020408444318
5,220,20,0.01,1.3928748615723583
5,220,30,0.01,4.807024621626973
5,220,40,0.01,5.279137411655298
5,220,50,0.01,6.756330566214971
5,220,60,0.01,3.946985599119007
5,220,70,0.01,6.26550395445262
5,220,80,0.01,74.99627118159115
5,220,90,0.01,54.469310511507615
5,220,100,0.01,58.74959343582995
5,220,110,0.01,32.59975129987229
5,220,120,0.01,53.0715950180811
5,220,130,0.01,169.05786245436624
5,220,140,0.01,500.43078145951637
5,220,150,0.01,211.28047767357637
5,220,160,0.01,17.925904706782166
5,220,170,0.01,39.463661401574335
5,220,180,0.01,96.76899749002331
5,220,190,0.01,19.337188904223236
5,220,200,0.01,37.913930902895025
5,220,210,0.01,51.41008686414625
5,230,10,0.01,0.2988257082115153
5,230,20,0.01,2.5459005655701454
5,230,30,0.01,22.00006509871882
5,230,40,0.01,2.6571354842145785
5,230,50,0.01,15.351596907070075
5,230,60,0.01,15.836244645473487
5,230,70,0.01,9.942468094795153
5,230,80,0.01,28.400209996373636
5,230,90,0.01,13.388076155474009
5,230,100,0.01,25.92715812677788
5,230,110,0.01,46.42591408049881
5,230,120,0.01,39.24021026116133
5,230,130,0.01,66.13223461765568
5,230,140,0.01,43.542405501774596
5,230,150,0.01,68.05417471581319
5,230,160,0.01,47.42215824180562
5,230,170,0.01,36.98958458448822
5,230,180,0.01,46.74487920353596
5,230,190,0.01,18.851317542652588
5,230,200,0.01,48.906398054508564
5,230,210,0.01,55.20471174337883
5,230,220,0.01,52.02208066732132
5,240,10,0.01,0.5905731440182814
5,240,20,0.01,0.5857005053132056
5,240,30,0.01,1.1996144533009974
5,240,40,0.01,3.422662533589209
5,240,50,0.01,8.516811263721976
5,240,60,0.01,1.310652439707261
5,240,70,0.01,13.854052533860274
5,240,80,0.01,10.763473006200217
5,240,90,0.01,165.4414786941197
5,240,100,0.01,169.8497548353932
5,240,110,0.01,46.010809099973734
5,240,120,0.01,647.4545096472423
5,240,130,0.01,65.61815263917116
5,240,140,0.01,64.80518690236677
5,240,150,0.01,13.933876789049231
5,240,160,0.01,61.69129883717335
5,240,170,0.01,22.132208724449104
5,240,180,0.01,13.204386148316438
5,240,190,0.01,13.620307595021826
5,240,200,0.01,48.45981627927509
5,240,210,0.01,105.15318904384185
5,240,220,0.01,22.228016702994513
5,240,230,0.01,65.0087930766994
5,250,10,0.01,0.20626222069630504
5,250,20,0.01,5.0522121909068405
5,250,30,0.01,2.680298396062009
5,250,40,0.01,3.1241162828483113
5,250,50,0.01,10.576444835205754
5,250,60,0.01,8.883983316048974
5,250,70,0.01,2.141702478117793
5,250,80,0.01,8.20718236195768
5,250,90,0.01,22.41713252890237
5,250,100,0.01,167.4532145829571
5,250,110,0.01,54.98645478648994
5,250,120,0.01,29.131314633502267
5,250,130,0.01,48.06507779787872
5,250,140,0.01,68.95968478356176
5,250,150,0.01,79.56802302089325
5,250,160,0.01,89.95132440093194
5,250,170,0.01,31.87467294203778
5,250,180,0.01,53.86163736300699
5,250,190,0.01,58.97392474666348
5,250,200,0.01,34.048026370984374
